"nurse_id","gender","name","mobility","municipality","updated_at[nurse_nurse]","status","is_active","is_profile_updated","is_onboarding_completed","is_approved[nurse_nurse]","treatment_type"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","CENTRAL_CATHETER_TREATMENT","INDEPENDENT","Nethanya","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","CENTRAL_CATHETER_TREATMENT","WALKER","Givatayim","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","CENTRAL_CATHETER_TREATMENT","WALKER","Givatayim","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","CENTRAL_CATHETER_TREATMENT","WALKER","Rishon LeTsiyon","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DAY_NIGHT_CIRCUMCISION_NURSE","INDEPENDENT","Herzliya","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","BEDRIDDEN","Nethanya","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Givat Shmuel","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Givat Shmuel","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Petach Tikva","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Ramat-Gan","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Rishon LeTsiyon","2024-09-26 00:00:00","CANCELLED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","INDEPENDENT","Tel Aviv-Yafo","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
"0127d89a-51e7-4867-b5c7-3502d7038c88","FEMALE","DEFAULT","WHEELCHAIR","Kfar Tavor","2024-09-26 00:00:00","CLOSED",1,0,1,1,"NURSE"
